"food_id","name","category","diet_type","meal_type","best_time_window","quantity","quantity_unit","calories","protein_g","carbs_g","fat_g","fiber_g","iron_mg","calcium_mg","sodium_mg","potassium_mg","vitamin_d_mcg","sugars_g","glycemic_index","health_score","tags","goal_tags","common_allergies","preparation_method","doctor_note","avoid_for","ayurvedic_property","digestibility","best_paired_with","state_origin"
156,"WATER INTAKE","reference","any","any","throughout day",8.0,"glasses 2L",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,"low",10,"hydration;reference","all","none","N/A","Drink 2-3L water daily; start with 1 glass warm water on waking","none","cool","easy","N/A","Pan-India"
157,"PRE-WORKOUT MEAL","reference","any","snack","30-60 min before workout",0.0,"",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,"low",10,"timing;reference;fitness","muscle_gain;fat_loss","none","N/A","Banana+peanut butter OR oats+milk OR dates+dry fruits; 200-300 cal","none","neutral","easy","banana;oats;dates","Pan-India"
158,"POST-WORKOUT MEAL","reference","any","snack","within 30 min after workout",0.0,"",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,"low",10,"timing;reference;fitness","muscle_gain;maintenance","none","N/A","Protein+carb combo within 30min; eggs+roti OR paneer+rice OR dal+rice","none","warm","easy","eggs;protein;carb","Pan-India"
159,"Dates (Khajoor)","fruit","veg","breakfast;snack","7-9 AM / pre-workout",3.0,"pieces",60,0.5,16.0,0.1,1.5,0.6,15,1,200,0.0,13.0,"high",8,"fruit;iron;energy;natural-sugar","maintenance;muscle_gain;anaemia","none","raw","Natural energy; iron-rich; good pre-workout; avoid excess in diabetes","diabetes (excess)","warm","easy","milk;almonds","Pan-India"
160,"Coconut (fresh grated)","fat","veg","lunch;dinner","12-2 PM",2.0,"tablespoon",80,1.0,3.0,8.0,2.0,0.5,5,5,100,0.0,1.5,"low",7,"coconut;MCT;traditional","maintenance","none","grated","MCT fats; good for thyroid; use fresh not packaged","none","cool","easy","chutney;curry","South India;Coastal India"
161,"Whey Protein Shake","protein","veg","breakfast;snack","post-workout / 7-9 AM",1.0,"scoop in water",120,25.0,3.0,2.0,0.0,0.3,140,80,160,0.0,2.0,"low",9,"supplement;protein;muscle_gain","muscle_gain;fat_loss","dairy","dissolved in water","Use after workout; 1 scoop; no need if eating enough protein from food","dairy allergy;kidney disease","neutral","easy","milk;banana","Pan-India"
162,"Rajgira (Amaranth) Porridge","carb","veg","breakfast","7-9 AM",1.0,"cup cooked",250,9.0,46.0,4.0,5.0,5.2,298,14,335,0.0,1.0,"low",10,"grain;gluten-free;complete-protein;calcium","fat_loss;maintenance;muscle_gain;bone_health","none","boiled","Complete plant protein; highest calcium grain; gluten-free; superfood","none","warm","easy","milk;jaggery;fruits","Pan-India"
163,"Kala Chana (black chickpeas)","protein","veg","breakfast;lunch","7-9 AM / 12-2 PM",1.0,"cup cooked",210,12.0,36.0,3.0,12.0,2.6,57,11,360,0.0,1.0,"low",10,"legume;iron;fiber;protein","fat_loss;maintenance;muscle_gain","none","sprouted or boiled","Navratri food; very high fiber and iron; eat sprouted for max benefit","IBS;kidney disease","warm","moderate","lemon;roti","Pan-India"
164,"Moong Dal Halwa (occasion)","carb","veg","snack","4-5 PM occasional",1.0,"small bowl",250,5.0,35.0,11.0,3.0,1.5,25,10,100,0.0,18.0,"high",5,"legume;ghee;traditional;festive","maintenance","dairy","cooked with ghee+jaggery","Occasional; use jaggery; high calorie; festive food only","diabetes;weight loss;daily consumption","warm","heavy","nothing","North India;Rajasthan"
165,"Saag (mixed greens)","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",60,4.0,8.0,2.0,5.0,3.0,200,300,500,0.0,1.0,"low",10,"leafy;iron;calcium;fiber","fat_loss;maintenance;bone_health;anaemia","none","cooked with minimal oil","Iron+Calcium powerhouse; eat with bajra roti; Punjabi superfood","none","warm","easy","bajra roti;makki roti","Punjab;Haryana;Rajasthan"
166,"Makki ki Roti (Corn flour)","carb","veg","breakfast;lunch;dinner","7-9 AM / 12-2 PM",2.0,"rotis",175,4.0,35.0,2.0,3.0,1.0,8,3,150,0.0,0.0,"medium",8,"grain;gluten-free;traditional;winter","maintenance","none","pan-roasted","Gluten-free; winter staple; eat with sarson ka saag; high energy","none","warm","moderate","saag;butter","Punjab;Haryana"
167,"Kaddu (Pumpkin) cooked","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",49,1.8,12.0,0.1,3.0,0.8,21,1,340,0.0,5.0,"low",9,"vegetable;beta-carotene;vitamin-A;low-cal","fat_loss;maintenance;eye_health;diabetes_friendly","none","cooked or roasted","Very low calorie; high Vitamin-A and fiber; anti-diabetic","none","warm","easy","dal;roti","Pan-India"
168,"Besan (Gram flour) preparation","protein","veg","breakfast;snack","7-9 AM / 4-5 PM",2.0,"tablespoon dry",110,6.0,16.0,2.0,3.0,1.5,20,5,120,0.0,0.5,"low",9,"legume;gluten-free;protein","fat_loss;maintenance;muscle_gain","none","various","Gram flour is high protein; use in chilla paniyaram pakoda","none","warm","easy","chutney","Pan-India"
